"Built by Nordhealth - trusted by 30,000+ Nordic healthcare professionals",Udviklet af Nordhealth – betroet af mere end 30.000 sundhedsprofessionelle i Norden
Ask Nora to help format your notes,Få noras hjælp til at forme dine journalnotater
"Make them shorter, longer, clearer, or more like your own style. You can also create new documents based on the same session, which you always review and approve before saving.","bed nora gøre dem kortere, længere, klarere eller mere i din egen stemme. Du kan også få lavet helt nye dokumenter ud fra sessionen, som altid vil gennemses og godkendes af dig, før de gemmes."
Private notes,Dine noter
"A private section separate from the official patient record for your own notes and background information. It allows you to freely process clinical observations, assumptions, and reflections between appointments.","Et privat rum, adskilt fra den officielle kliniske journal, til dine egne overvejelser og kontekst. Giver dig mulighed for frit at bearbejde fornemmelser og observationer mellem sessioner."
Stay present with your patient,PRØV DET NU
4h+,4+ timer
Time saved every week,Tid du får tilbage hver uge
8000+,8000+
Files added weekly to private notes,Filer tilføjet til
Note quality,Kvaliteten af notatet
Most valued by Nordhealth Nora users,Er hvad Nordhealth Nora brugere er mest tilfredse med
Pricing,PRISSIDE
Choose the right plan for you,Klinisk dokumentation - klaret i realtid.
Choose from two different packages and optional add-ons - getting started is easy,"Vælg den plan, der passer bedst til dit arbejde - hvad end du er enkeltpraktiserende eller sidder i et team."
Monthly,
"Previously €89 / month
€49
/ month (excl. VAT)
14-day free trial

valid until 28.2.2026",
Annual,
Previously €75 / month€39/ month (excl. VAT)annual billing €468 14-day free trial valid until 28.2.202,
Multi-User,
Custom pricing,
Contact us to discuss customized pricing,
