"Built by Nordhealth - trusted by 30,000+ Nordic healthcare professionals",Udviklet af Nordhealth - valgt af mere end 30.000 sundhedsprofessionelle i Norden
"We aren't just automating notes. We are protecting the space between consultation and record. High quality, structured documentation, finalized by you. Every feature we add is crafted with your input, built by Nordhealth, trusted by 30,000 + nordic healthcare professionals.","Vi automatiserer ikke blot notetagning - vi sikrer kvaliteten i overgangen fra konsultation til journalføring.

Struktureret dokumentation i høj kvalitet - godkendt og færdiggjort af dig.

Udviklet sammen med behandlere. Bygget af Nordhealth. Valgt af +30.000 sundhedsprofessionelle i Norden."
Launch offer: only €49 per month – available for a limited time,Introduktionstilbud: XX pr. måned - tidsbegrænset
Features,Funktioner
GDPR-compliant & EU-hosted,GDPR-compliant & EU-hostet:
"All data is processed on secure European servers. Original audio is never stored, reused, or retained, and no data is used for AI model training. Read more about our security here.","Alle data behandles på sikre europæiske servere. Rå lyd gemmes, genbruges eller opbevares aldrig, og ingen data bruges til at træne eksterne AI-modeller.
Læs mere om vores sikkerhed her."
Session transcription,Sessionsudskrift:
Capture the entire conversation and any background information you add. Nordhealth Nora converts them into clear text that you can use immediately in your notes – always clinically reviewed and secure.,"Indfang hele samtalen og anden relevant kontekst, du tilføjer. Nordhealth Nora omsætter det til tydelig tekst, som du kan bruge direkte i journaler og dokumenter - altid gennemgået og godkendt af dig, før det gemmes, og sikkert håndteret."
Live dictation,Live diktering
Naturally dictate your observations and thoughts during or after the appointment. Nora converts your words into clear and accurate text directly for documentation.,"Tal naturligt under eller efter sessionen. Nora omdanner dine ord til klar, præcis tekst direkte i de rette felter - uanset om du skriver journalnotat, medicinsk dokument eller interne noter."
Ask Nora to help format your notes,Få Nora til at udforme dine journalnotater.
"Make them shorter, longer, clearer, or more like your own style. You can also create new documents based on the same session, which you always review and approve before saving.","Bed Nora gøre dem kortere, længere, klarere eller mere i din egen stemme. Du kan også få lavet helt nye dokumenter ud fra sessionen, som altid vil gennemses og godkendes af dig, før de gemmes."
Private notes,Dine noter
"A private section separate from the official patient record for your own notes and background information. It allows you to freely process clinical observations, assumptions, and reflections between appointments.","Et privat rum, adskilt fra den officielle klientjournal, til dine egne noter og baggrundsoplysninger. Det giver dig mulighed for frit at bearbejde kliniske observationer, faglige overvejelser og refleksioner mellem konsultationer."
Stay present with your patient,Vær til stede med din patient
4h+,4+ timer
Time saved every week,Tid du får tilbage hver uge
8000+,8000+
Files added weekly to private notes,Filer tilføjet ugentligt til private noter
Note quality,Kvaliteten af notatet
Most valued by Nordhealth Nora users,Er hvad Nordhealth Nora brugere er mest tilfredse med
Pricing,PRISSIDE
Choose the right plan for you,Klinisk dokumentation - klaret i realtid.
Choose from two different packages and optional add-ons - getting started is easy,"Vælg den plan, der passer bedst til dit arbejde - hvad end du er enkeltpraktiserende eller sidder i et team."
Monthly,Månedligt
"Previously €89 / month
€49
/ month (excl. VAT)
14-day free trial

valid until 28.2.2026","Tidligere XX / md. 

XX / md. (ekskl. moms).
14 dages gratis prøveperiode.

Tilbuddet løber indtil d. 28/2-2026."
Annual,Årligt
Previously €75 / month€39/ month (excl. VAT)annual billing €468 14-day free trial valid until 28.2.202,"Tidligere XX / md. 

XX / md. (ekskl. moms). 
Årlig fakturering. 

14 dages gratis prøveperiode.

Tilbuddet løber indtil d. 28/2-2026."
Multi-User,Flere brugere
Custom pricing,Skræddersyet pris
Contact us to discuss customized pricing,Kontakt os for et skræddersyet tilbud
